,citax_2020,Net_accounting_profit_2020,citax_ref_2020,Net_accounting_profit_ref_2020,citax_ref_2021,Net_accounting_profit_ref_2021,citax_ref_2022,Net_accounting_profit_ref_2022,citax_ref_2023,Net_accounting_profit_ref_2023,citax_ref_2024,Net_accounting_profit_ref_2024,citax_ref_2025,Net_accounting_profit_ref_2025,ETR,ETR_ref
84,"17,479,176.6796","38,373,536.7750","17,479,176.6796","38,373,536.7750","17,479,176.6796","38,373,536.7750","22,328,477.2954","38,373,536.7750","22,328,477.2954","38,373,536.7750","22,328,477.2954","38,373,536.7750","22,328,477.2954","38,373,536.7750",0.4555,0.4555
85,"12,775,332.6291","43,404,361.6923","12,775,332.6291","43,404,361.6923","13,475,772.7798","43,404,361.6923","16,979,393.2052","43,404,361.6923","16,979,393.2052","43,404,361.6923","16,979,393.2052","43,404,361.6923","16,979,393.2052","43,404,361.6923",0.2943,0.2943
86,"16,907,477.6498","49,000,387.4000","16,907,477.6498","49,000,387.4000","16,907,477.6498","49,000,387.4000","20,696,027.7585","49,000,387.4000","20,696,027.7585","49,000,387.4000","20,696,027.7585","49,000,387.4000","20,696,027.7585","49,000,387.4000",0.3450,0.3450
87,"22,509,752.5542","54,057,710.4103","22,509,752.5542","54,057,710.4103","22,857,764.2426","54,057,710.4103","29,516,098.1677","54,057,710.4103","29,516,098.1677","54,057,710.4103","29,516,098.1677","54,057,710.4103","29,516,098.1677","54,057,710.4103",0.4164,0.4164
88,"37,309,455.6434","61,946,560.4250","37,309,455.6434","61,946,560.4250","37,356,300.1175","61,946,560.4250","41,285,815.9628","61,946,560.4250","41,285,815.9628","61,946,560.4250","41,285,815.9628","61,946,560.4250","41,285,815.9628","61,946,560.4250",0.6023,0.6023
89,"22,170,589.0690","70,629,297.1795","22,170,589.0690","70,629,297.1795","22,170,589.0690","70,629,297.1795","27,741,565.6725","70,629,297.1795","27,741,565.6725","70,629,297.1795","27,741,565.6725","70,629,297.1795","27,741,565.6725","70,629,297.1795",0.3139,0.3139
90,"73,912,000.3528","82,323,321.5128","73,912,000.3528","82,323,321.5128","73,985,442.8970","82,323,321.5128","78,155,307.3620","82,323,321.5128","78,155,307.3620","82,323,321.5128","78,155,307.3620","82,323,321.5128","78,155,307.3620","82,323,321.5128",0.8978,0.8978
91,"30,718,363.1734","93,193,686.0250","30,718,363.1734","93,193,686.0250","31,503,050.6129","93,193,686.0250","38,609,969.7087","93,193,686.0250","38,609,969.7087","93,193,686.0250","38,609,969.7087","93,193,686.0250","38,609,969.7087","93,193,686.0250",0.3296,0.3296
92,"62,872,511.3889","107,980,086.0000","62,872,511.3889","107,980,086.0000","63,047,086.6678","107,980,086.0000","75,783,430.1334","107,980,086.0000","75,783,430.1334","107,980,086.0000","75,783,430.1334","107,980,086.0000","75,783,430.1334","107,980,086.0000",0.5823,0.5823
93,"46,983,610.7275","125,647,563.0750","46,983,610.7275","125,647,563.0750","46,983,610.7275","125,647,563.0750","57,973,299.9796","125,647,563.0750","57,973,299.9796","125,647,563.0750","57,973,299.9796","125,647,563.0750","57,973,299.9796","125,647,563.0750",0.3739,0.3739
94,"59,060,083.9014","158,121,571.7436","59,060,083.9014","158,121,571.7436","59,143,598.7708","158,121,571.7436","78,858,131.6944","158,121,571.7436","78,858,131.6944","158,121,571.7436","78,858,131.6944","158,121,571.7436","78,858,131.6944","158,121,571.7436",0.3735,0.3735
95,"49,044,086.5150","198,097,066.5500","49,044,086.5150","198,097,066.5500","51,206,837.1652","198,097,066.5500","66,414,806.0657","198,097,066.5500","66,414,806.0657","198,097,066.5500","66,414,806.0657","198,097,066.5500","66,414,806.0657","198,097,066.5500",0.2476,0.2476
96,"126,099,671.5597","279,520,068.6154","126,099,671.5597","279,520,068.6154","126,950,993.2481","279,520,068.6154","149,671,532.8346","279,520,068.6154","149,671,532.8346","279,520,068.6154","149,671,532.8346","279,520,068.6154","149,671,532.8346","279,520,068.6154",0.4511,0.4511
97,"150,029,331.6127","417,396,244.5000","150,029,331.6127","417,396,244.5000","150,029,331.6127","417,396,244.5000","178,590,539.4940","417,396,244.5000","178,590,539.4940","417,396,244.5000","178,590,539.4940","417,396,244.5000","178,590,539.4940","417,396,244.5000",0.3594,0.3594
98,"177,645,052.3695","686,427,622.7949","177,645,052.3695","686,427,622.7949","177,645,052.3695","686,427,622.7949","206,814,534.7593","686,427,622.7949","206,814,534.7593","686,427,622.7949","206,814,534.7593","686,427,622.7949","206,814,534.7593","686,427,622.7949",0.2588,0.2588
99,"623,123,296.3445","2,592,201,067.2500","623,123,296.3445","2,592,201,067.2500","623,123,296.3445","2,592,201,067.2500","686,315,414.6409","2,592,201,067.2500","686,315,414.6409","2,592,201,067.2500","686,315,414.6409","2,592,201,067.2500","686,315,414.6409","2,592,201,067.2500",0.2404,0.2404
ALL,"16,805,261.4644","43,009,900.8378","16,805,261.4644","43,009,900.8378","16,874,273.0365","43,009,900.8378","19,715,728.1082","43,009,900.8378","19,715,728.1082","43,009,900.8378","19,715,728.1082","43,009,900.8378","19,715,728.1082","43,009,900.8378",0.3907,0.3907
